 time, vibration, pressure, z_tilt
 14:48:55 2022/6/3,2,869,3344
 14:48:56 2022/6/3,2,924,3104
 14:48:56 2022/6/3,2,932,3032
 14:48:57 2022/6/3,2,927,3264
 14:48:57 2022/6/3,2,918,3476
 14:48:58 2022/6/3,1,918,3492
 14:48:58 2022/6/3,1,914,3560
 14:48:59 2022/6/3,1,910,3268
 14:48:59 2022/6/3,1,914,3544
 14:49:0 2022/6/3,1,917,3408
 14:49:0 2022/6/3,1,917,3212
 14:49:1 2022/6/3,1,917,3360
 14:49:1 2022/6/3,1,916,3056
 14:49:2 2022/6/3,1,914,3744
 14:49:2 2022/6/3,151,916,3516
 14:49:3 2022/6/3,1023,914,3204
 14:49:3 2022/6/3,2,913,2772
 14:49:4 2022/6/3,1,912,3200
 14:49:4 2022/6/3,2,912,3244
 14:49:5 2022/6/3,2,911,3120
 14:49:5 2022/6/3,2,912,3324
 14:49:6 2022/6/3,1,909,3296
 14:49:6 2022/6/3,1,913,3308
 14:49:7 2022/6/3,1,911,3128
 14:49:7 2022/6/3,1,912,3512
 14:49:8 2022/6/3,1,911,3432
 14:49:8 2022/6/3,1,912,3172
 14:49:9 2022/6/3,1,912,3564
 14:49:9 2022/6/3,1,911,3500
 14:49:10 2022/6/3,1,911,3512
 14:49:10 2022/6/3,2,909,3180
 14:49:11 2022/6/3,1,908,3612
 14:49:11 2022/6/3,2,907,3228
 14:49:12 2022/6/3,2,907,3352
 14:49:12 2022/6/3,2,906,3724
 14:49:13 2022/6/3,2,906,3336
 14:49:13 2022/6/3,1023,906,3288
 14:49:14 2022/6/3,1023,906,3164
 14:49:14 2022/6/3,28,905,3992
 14:49:15 2022/6/3,1,904,3112
 14:49:15 2022/6/3,2,906,3540
 14:49:16 2022/6/3,1,905,3080
 14:49:16 2022/6/3,1,904,3420
 14:49:17 2022/6/3,2,904,3396
 14:49:17 2022/6/3,2,904,3420
 14:49:18 2022/6/3,2,904,3036
 14:49:18 2022/6/3,2,904,3300
 14:49:19 2022/6/3,2,903,3216
 14:49:19 2022/6/3,2,899,3304
 14:49:20 2022/6/3,1,896,3256
 14:49:20 2022/6/3,2,900,3492
 14:49:21 2022/6/3,1,901,3072
 14:49:21 2022/6/3,2,901,3332
 14:49:22 2022/6/3,2,900,3440
 14:49:22 2022/6/3,2,898,3220
 14:49:23 2022/6/3,2,899,3228
 14:49:23 2022/6/3,2,899,3208
 14:49:24 2022/6/3,10,898,3232
 14:49:24 2022/6/3,1023,898,3260
 14:49:25 2022/6/3,1023,897,3256
 14:49:25 2022/6/3,1,899,3488
 14:49:26 2022/6/3,0,899,3136
 14:49:26 2022/6/3,0,900,3544
 14:49:27 2022/6/3,0,899,3584
 14:49:27 2022/6/3,1,899,3272
 14:49:28 2022/6/3,1,900,3348
 14:49:28 2022/6/3,1,900,3648
 14:49:29 2022/6/3,1,900,4024
 14:49:29 2022/6/3,1,900,3656
 14:49:30 2022/6/3,0,897,3968
 14:49:30 2022/6/3,0,898,4084
 14:49:31 2022/6/3,1,898,3964
 14:49:31 2022/6/3,1,897,3624
 14:49:32 2022/6/3,0,907,3356
 14:49:32 2022/6/3,1,902,4052
 14:49:33 2022/6/3,0,904,4100
 14:49:33 2022/6/3,0,901,3712
 14:49:34 2022/6/3,1,903,4256
 14:49:34 2022/6/3,0,900,4044
 14:49:35 2022/6/3,0,899,4132
 14:49:35 2022/6/3,0,898,4156
 14:49:36 2022/6/3,0,899,4132
 14:49:36 2022/6/3,1,898,4632
 14:49:37 2022/6/3,1,895,4020
 14:49:37 2022/6/3,0,893,4276
 14:49:38 2022/6/3,1023,893,3724
 14:49:38 2022/6/3,1,890,3780
 14:49:39 2022/6/3,857,892,3876
 14:49:39 2022/6/3,0,891,3872
 14:49:40 2022/6/3,0,893,4068
 14:49:40 2022/6/3,0,893,4144
 14:49:41 2022/6/3,0,894,3912
 14:49:41 2022/6/3,0,897,4060
 14:49:42 2022/6/3,0,897,3760
 14:49:42 2022/6/3,0,895,3996
 14:49:43 2022/6/3,0,895,4244
 14:49:43 2022/6/3,0,893,3712
 14:49:44 2022/6/3,0,891,4196
 14:49:44 2022/6/3,1,893,4284
 14:49:45 2022/6/3,0,893,4028
 14:49:45 2022/6/3,0,892,4268
 14:49:46 2022/6/3,2,887,4408
 14:49:46 2022/6/3,1022,889,4204
 14:49:47 2022/6/3,1023,889,4364
 14:49:47 2022/6/3,1,892,3972
 14:49:48 2022/6/3,0,893,4356
 14:49:48 2022/6/3,0,900,3864
 14:49:49 2022/6/3,0,904,3452
 14:49:49 2022/6/3,0,903,2924
 14:49:50 2022/6/3,1,907,1668
 14:49:50 2022/6/3,0,906,1424
 14:49:51 2022/6/3,0,907,968
 14:49:51 2022/6/3,0,917,648
 14:49:52 2022/6/3,0,911,596
 14:49:52 2022/6/3,0,910,412
 14:49:53 2022/6/3,0,907,720
 14:49:53 2022/6/3,0,905,596
 14:49:54 2022/6/3,0,905,604
 14:49:54 2022/6/3,0,903,576
 14:49:55 2022/6/3,0,903,728
 14:49:55 2022/6/3,0,907,800
 14:49:56 2022/6/3,1,912,-16
 14:49:56 2022/6/3,19,910,268
 14:49:57 2022/6/3,1022,910,380
 14:49:57 2022/6/3,1023,909,52
 14:49:58 2022/6/3,425,905,120
 14:49:58 2022/6/3,1,904,48
 14:49:59 2022/6/3,0,904,316
 14:49:59 2022/6/3,1,905,220
 14:50:0 2022/6/3,0,905,156
 14:50:0 2022/6/3,1,907,32
 14:50:1 2022/6/3,1,907,632
 14:50:1 2022/6/3,1,904,664
 14:50:2 2022/6/3,1,906,388
 14:50:2 2022/6/3,1,905,228
 14:50:3 2022/6/3,0,906,208
 14:50:3 2022/6/3,1,904,400
